,Price,Street Address,Bed,Bath,Listing Area,Certificate,Jakarta Division
6437,950000000.0,Condet,2,2,85,SHM - Sertifikat Hak Milik,EAST
6438,1100000000.0,Condet,3,3,100,SHM - Sertifikat Hak Milik,EAST
6439,1550000000.0,Condet,4,3,150,SHM - Sertifikat Hak Milik,EAST
6440,950000000.0,Condet,2,2,55,SHM - Sertifikat Hak Milik,EAST
6442,1800000000.0,Condet,4,3,117,SHM - Sertifikat Hak Milik,EAST
6443,1850000000.0,Pondok Kelapa,4,3,150,SHM - Sertifikat Hak Milik,EAST
6444,1500000000.0,Kramat Jati,4,3,200,SHM - Sertifikat Hak Milik,EAST
6445,4200000000.0,Duren Sawit,5,4,270,SHM - Sertifikat Hak Milik,EAST
6446,680000000.0,Cibubur,3,2,65,SHM - Sertifikat Hak Milik,EAST
6447,1350000000.0,Rawamangun,3,3,80,SHM - Sertifikat Hak Milik,EAST
6448,2700000000.0,Rawamangun,5,3,270,SHM - Sertifikat Hak Milik,EAST
6451,930100000.0,Ciracas,3,2,81,SHM - Sertifikat Hak Milik,EAST
6452,387000000.0,Pondok Ranggon,2,2,55,SHM - Sertifikat Hak Milik,EAST
6453,2400000000.0,Duren Sawit,4,4,150,SHM - Sertifikat Hak Milik,EAST
6454,1477000000.0,Rawamangun,3,2,67,SHM - Sertifikat Hak Milik,EAST
6455,1700000000.0,Jakarta Garden City/JGC,3,3,63,PPJB - Perjanjian Pengikatan Jual Beli,EAST
6456,857000000.0,Kota Wisata Cibubur,3,2,70,SHM - Sertifikat Hak Milik,EAST
6458,2500000000.0,Rawamangun,4,4,135,SHM - Sertifikat Hak Milik,EAST
6459,2400000000.0,Duren Sawit,5,4,150,SHM - Sertifikat Hak Milik,EAST
6461,2700000000.0,Rawamangun,5,3,270,SHM - Sertifikat Hak Milik,EAST
6462,2600000000.0,Rawamangun,4,4,135,SHM - Sertifikat Hak Milik,EAST
6463,1175000000.0,Pulomas,2,2,60,SHM - Sertifikat Hak Milik,EAST
6465,3180000000.0,Condet,4,3,188,SHM - Sertifikat Hak Milik,EAST
6467,2400000000.0,Duren Sawit,4,4,160,SHM - Sertifikat Hak Milik,EAST
6470,4500000000.0,Kayu Putih,4,4,340,SHM - Sertifikat Hak Milik,EAST
6471,750000000.0,Cibubur,3,2,70,SHM - Sertifikat Hak Milik,EAST
6472,2300000000.0,Jakarta Garden City/JGC,4,4,125,SHM - Sertifikat Hak Milik,EAST
6473,4240000000.0,Cibubur,3,3,237,SHM - Sertifikat Hak Milik,EAST
6474,1138876000.0,Cibubur,3,2,63,SHM - Sertifikat Hak Milik,EAST
6475,650000000.0,Kalisari,3,2,60,SHM - Sertifikat Hak Milik,EAST
6477,695000000.0,Lubang Buaya,2,1,38,SHM - Sertifikat Hak Milik,EAST
6478,990000000.0,Lubang Buaya,3,2,70,SHM - Sertifikat Hak Milik,EAST
6479,2500000000.0,Duren Sawit,3,3,200,SHM - Sertifikat Hak Milik,EAST
6480,340000000.0,Pasar Rebo,2,1,34,SHM - Sertifikat Hak Milik,EAST
6481,1800000000.0,Kampung Ambon,5,4,190,SHM - Sertifikat Hak Milik,EAST
6482,650000000.0,Ciracas,3,2,60,SHM - Sertifikat Hak Milik,EAST
6483,4000000000.0,Cijantung,4,4,350,SHM - Sertifikat Hak Milik,EAST
6484,1175000000.0,Cakung,2,1,60,SHM - Sertifikat Hak Milik,EAST
6485,2150000000.0,Jakarta Garden City/JGC,4,3,87,SHM - Sertifikat Hak Milik,EAST
6486,2500000000.0,Cakung,4,3,140,PPJB - Perjanjian Pengikatan Jual Beli,EAST
6488,3900000000.0,Rawamangun,5,3,211,SHM - Sertifikat Hak Milik,EAST
6489,430000000.0,Condet,2,1,33,SHM - Sertifikat Hak Milik,EAST
6490,2100000000.0,Jakarta Garden City/JGC,5,3,120,PPJB - Perjanjian Pengikatan Jual Beli,EAST
6493,3700000000.0,Jl. Bekasi Raya,4,4,215,PPJB - Perjanjian Pengikatan Jual Beli,EAST
6494,497763670.0,Ciracas,2,2,38,SHM - Sertifikat Hak Milik,EAST
6495,4500000000.0,Rawamangun,4,4,200,SHM - Sertifikat Hak Milik,EAST
6496,210000000.0,Cipayung,2,1,36,SHM - Sertifikat Hak Milik,EAST
6497,800000000.0,Cibubur,3,3,88,SHM - Sertifikat Hak Milik,EAST
6498,600000000.0,Cibubur,3,1,40,SHM - Sertifikat Hak Milik,EAST
6499,2600000000.0,Cipinang,4,4,135,SHM - Sertifikat Hak Milik,EAST
6500,2000000000.0,Klender,2,1,81,SHM - Sertifikat Hak Milik,EAST
6501,4000000000.0,Duren Sawit,5,4,300,SHM - Sertifikat Hak Milik,EAST
6502,130000000.0,Jatinegara,2,1,36,AJB - Akta Jual Beli,EAST
6503,700000000.0,Condet,2,2,65,SHM - Sertifikat Hak Milik,EAST
6504,2000000000.0,Pondok Bambu,4,4,112,SHM - Sertifikat Hak Milik,EAST
6507,340000000.0,Condet,2,1,34,SHM - Sertifikat Hak Milik,EAST
6508,1500000000.0,Pulo Gadung,3,1,280,SHM - Sertifikat Hak Milik,EAST
6509,330000000.0,Cipayung,2,2,60,SHM - Sertifikat Hak Milik,EAST
6510,675000000.0,Ciracas,3,2,70,SHM - Sertifikat Hak Milik,EAST
6511,700000000.0,Cipayung,3,1,60,SHM - Sertifikat Hak Milik,EAST
6513,2400000000.0,Cakung,2,2,100,PPJB - Perjanjian Pengikatan Jual Beli,EAST
6516,1350000000.0,Duren Sawit,3,3,95,SHM - Sertifikat Hak Milik,EAST
6517,2000000000.0,Buaran,4,3,160,SHM - Sertifikat Hak Milik,EAST
6518,761000000.0,Buaran,2,3,60,SHM - Sertifikat Hak Milik,EAST
6519,2276000000.0,Cipinang,3,4,99,SHM - Sertifikat Hak Milik,EAST
6520,389000000.0,Jatinegara,2,2,31,SHM - Sertifikat Hak Milik,EAST
6522,1200000000.0,Cipayung,3,2,75,SHM - Sertifikat Hak Milik,EAST
6523,1200000000.0,Cibubur,3,2,75,SHM - Sertifikat Hak Milik,EAST
6524,1200000000.0,Ciracas,3,2,75,SHM - Sertifikat Hak Milik,EAST
6525,1200000000.0,Pasar Rebo,3,2,75,SHM - Sertifikat Hak Milik,EAST
6526,1200000000.0,Cilangkap,3,2,75,SHM - Sertifikat Hak Milik,EAST
6527,1200000000.0,Pondok Ranggon,3,2,75,SHM - Sertifikat Hak Milik,EAST
6528,900000000.0,Cipayung,3,2,75,SHM - Sertifikat Hak Milik,EAST
6529,800000000.0,Cipayung,3,2,70,SHM - Sertifikat Hak Milik,EAST
6530,950000000.0,Buaran,5,2,105,SHM - Sertifikat Hak Milik,EAST
6531,950000000.0,Cipinang,5,2,105,SHM - Sertifikat Hak Milik,EAST
6532,1500000000.0,Condet,4,4,130,SHM - Sertifikat Hak Milik,EAST
6533,799000000.0,Duren Sawit,3,3,90,SHM - Sertifikat Hak Milik,EAST
6534,1250000000.0,Cipayung,3,3,90,SHM - Sertifikat Hak Milik,EAST
6535,1200000000.0,Cipayung,3,2,75,SHM - Sertifikat Hak Milik,EAST
6536,1200000000.0,Cipayung,3,2,75,SHM - Sertifikat Hak Milik,EAST
6538,1100000000.0,Cipayung,3,2,68,SHM - Sertifikat Hak Milik,EAST
6539,991000000.0,Cilangkap,3,2,75,SHM - Sertifikat Hak Milik,EAST
6541,750000000.0,Cilangkap,3,2,105,SHM - Sertifikat Hak Milik,EAST
6547,517300000.0,Kalisari,2,1,26,AJB - Akta Jual Beli,EAST
6548,1350000000.0,Condet,3,3,110,SHM - Sertifikat Hak Milik,EAST
6549,3500000000.0,Cijantung,3,3,180,SHM - Sertifikat Hak Milik,EAST
6550,1650000000.0,Condet,3,3,110,SHM - Sertifikat Hak Milik,EAST
6551,2300000000.0,Condet,4,4,160,SHM - Sertifikat Hak Milik,EAST
6552,1900000000.0,Kramat Jati,3,2,100,SHM - Sertifikat Hak Milik,EAST
6555,2300000000.0,Pasar Rebo,3,2,160,SHM - Sertifikat Hak Milik,EAST
6556,855000000.0,Cipayung,2,2,69,SHM - Sertifikat Hak Milik,EAST
6557,5000000000.0,Duren Sawit,4,2,250,SHM - Sertifikat Hak Milik,EAST
6559,450000000.0,Ciracas,2,2,23,SHM - Sertifikat Hak Milik,EAST
6561,2800000000.0,Rawamangun,4,3,180,SHM - Sertifikat Hak Milik,EAST
6562,1500000000.0,Kramat Jati,4,4,120,SHM - Sertifikat Hak Milik,EAST
6563,2400000000.0,Cakung,3,3,144,SHM - Sertifikat Hak Milik,EAST
6564,3000000000.0,Cakung,3,3,90,SHM - Sertifikat Hak Milik,EAST
6565,1900000000.0,Cibubur,4,2,128,SHM - Sertifikat Hak Milik,EAST
6566,467000000.0,Ciracas,2,2,33,SHM - Sertifikat Hak Milik,EAST
6567,2200000000.0,Rawamangun,5,4,200,SHM - Sertifikat Hak Milik,EAST
6568,3100000000.0,Rawamangun,4,4,250,SHM - Sertifikat Hak Milik,EAST
6569,485000000.0,Condet,2,2,70,AJB - Akta Jual Beli,EAST
6571,575000000.0,Condet,2,2,60,AJB - Akta Jual Beli,EAST
6572,715000000.0,Condet,4,2,75,SHM - Sertifikat Hak Milik,EAST
6573,850000000.0,Condet,3,2,130,SHM - Sertifikat Hak Milik,EAST
6574,1800000000.0,Cakung,2,2,60,SHGB - Hak Guna Bangunan,EAST
6575,1200000000.0,Condet,4,2,130,SHM - Sertifikat Hak Milik,EAST
6576,1200000000.0,Condet,4,2,130,SHM - Sertifikat Hak Milik,EAST
6577,350000000.0,Condet,2,1,38,AJB - Akta Jual Beli,EAST
6578,1100000000.0,Condet,4,2,120,SHM - Sertifikat Hak Milik,EAST
6579,850000000.0,Condet,2,1,45,SHM - Sertifikat Hak Milik,EAST
6580,1650000000.0,Condet,4,3,130,SHM - Sertifikat Hak Milik,EAST
6581,650000000.0,Condet,3,2,100,SHM - Sertifikat Hak Milik,EAST
6582,1100000000.0,Condet,3,2,105,SHM - Sertifikat Hak Milik,EAST
6583,750000000.0,Cilangkap,3,2,105,SHM - Sertifikat Hak Milik,EAST
6584,4442688000.0,Duren Sawit,3,3,146,SHGB - Hak Guna Bangunan,EAST
6586,4500000000.0,Rawamangun,4,4,200,SHM - Sertifikat Hak Milik,EAST
6587,4500000000.0,Rawamangun,4,4,200,SHM - Sertifikat Hak Milik,EAST
6588,4500000000.0,Rawamangun,4,4,200,SHM - Sertifikat Hak Milik,EAST
6589,689000000.0,Cililitan,3,2,52,SHM - Sertifikat Hak Milik,EAST
6590,2500000000.0,Kota Wisata Cibubur,4,4,250,SHM - Sertifikat Hak Milik,EAST
6591,2700000000.0,Pulo Gebang,5,3,200,SHM - Sertifikat Hak Milik,EAST
6592,4500000000.0,Cipinang,5,2,250,SHM - Sertifikat Hak Milik,EAST
6595,2800000000.0,Cakung,3,2,88,PPJB - Perjanjian Pengikatan Jual Beli,EAST
6596,1250000000.0,Cipayung,3,3,77,SHM - Sertifikat Hak Milik,EAST
6597,1799000000.0,Ciracas,4,2,92,SHM - Sertifikat Hak Milik,EAST
6600,2100000000.0,Cipayung,4,4,145,SHM - Sertifikat Hak Milik,EAST
6601,4500000000.0,Otista,4,2,300,SHM - Sertifikat Hak Milik,EAST
6602,4500000000.0,Otista,4,2,300,SHM - Sertifikat Hak Milik,EAST
6603,2600000000.0,Rawamangun,4,3,135,SHM - Sertifikat Hak Milik,EAST
6605,2400000000.0,Cakung,4,2,250,SHM - Sertifikat Hak Milik,EAST
6606,6700000000.0,Rawamangun,4,3,170,SHM - Sertifikat Hak Milik,EAST
6608,2400000000.0,Cakung,4,2,250,SHM - Sertifikat Hak Milik,EAST
6610,670000000.0,Jatinegara,2,1,50,SHM - Sertifikat Hak Milik,EAST
6611,2043500000.0,Cakung,3,3,74,SHM - Sertifikat Hak Milik,EAST
6612,1800000000.0,Lubang Buaya,2,2,130,SHM - Sertifikat Hak Milik,EAST
6613,3800000000.0,Ciracas,4,4,284,SHM - Sertifikat Hak Milik,EAST
6614,2300000000.0,Rawamangun,3,2,175,SHM - Sertifikat Hak Milik,EAST
6616,3600000000.0,Kayu Putih,5,3,187,SHM - Sertifikat Hak Milik,EAST
6618,600000000.0,Cilangkap,3,2,60,SHM - Sertifikat Hak Milik,EAST
6619,455000000.0,Cijantung,2,2,23,SHM - Sertifikat Hak Milik,EAST
6621,3000000000.0,Duren Sawit,4,3,120,SHM - Sertifikat Hak Milik,EAST
6623,3500000000.0,Ciracas,3,3,122,SHM - Sertifikat Hak Milik,EAST
6624,1400000000.0,Pondok Kelapa,5,3,158,SHM - Sertifikat Hak Milik,EAST
6625,3980000000.0,Pondok Kelapa,4,4,235,SHM - Sertifikat Hak Milik,EAST
6627,2100000000.0,Pondok Kelapa,5,3,242,SHM - Sertifikat Hak Milik,EAST
6628,340000000.0,Cibubur,2,1,52,SHM - Sertifikat Hak Milik,EAST
6629,2400000000.0,Cakung,4,2,250,SHM - Sertifikat Hak Milik,EAST
6630,1400000000.0,Duren Sawit,5,3,158,SHM - Sertifikat Hak Milik,EAST
6631,2500000000.0,Pulo Asem,4,2,120,SHM - Sertifikat Hak Milik,EAST
6632,340000000.0,Cibubur,2,2,50,SHM - Sertifikat Hak Milik,EAST
6633,2200000000.0,Cakung,3,2,79,SHM - Sertifikat Hak Milik,EAST
6636,2600000000.0,Rawamangun,4,4,135,SHM - Sertifikat Hak Milik,EAST
6637,2000000000.0,Jakarta Garden City/JGC,3,3,150,PPJB - Perjanjian Pengikatan Jual Beli,EAST
6638,985000000.0,Cijantung,2,2,50,SHM - Sertifikat Hak Milik,EAST
6639,2250000000.0,Cakung,3,3,154,SHM - Sertifikat Hak Milik,EAST
6640,340000000.0,Cibubur,2,2,50,SHM - Sertifikat Hak Milik,EAST
6641,3100000000.0,Pondok Kelapa,3,2,208,SHM - Sertifikat Hak Milik,EAST
6642,1000000000.0,Cilangkap,3,2,80,SHM - Sertifikat Hak Milik,EAST
6643,360000000.0,Ciracas,2,1,36,SHM - Sertifikat Hak Milik,EAST
6644,439000000.0,Cibubur,3,2,80,SHM - Sertifikat Hak Milik,EAST
6646,2400000000.0,Cakung,4,2,250,SHM - Sertifikat Hak Milik,EAST
6647,3000000000.0,Jakarta Garden City/JGC,5,4,135,SHM - Sertifikat Hak Milik,EAST
6648,826800000.0,Cilangkap,3,2,60,SHM - Sertifikat Hak Milik,EAST
6649,450000000.0,Cibubur,3,1,50,SHM - Sertifikat Hak Milik,EAST
6653,3850000000.0,Cipinang,3,3,190,SHM - Sertifikat Hak Milik,EAST
6657,820000000.0,Cawang,3,2,60,SHM - Sertifikat Hak Milik,EAST
6661,3000000000.0,Jakarta Garden City/JGC,5,4,135,SHM - Sertifikat Hak Milik,EAST
6662,2250000000.0,Cakung,4,4,150,SHM - Sertifikat Hak Milik,EAST
6663,1750000000.0,Cakung,4,3,76,PPJB - Perjanjian Pengikatan Jual Beli,EAST
6664,3750000000.0,Duren Sawit,5,4,300,SHM - Sertifikat Hak Milik,EAST
6665,3500000000.0,Kayu Putih,4,3,200,SHM - Sertifikat Hak Milik,EAST
6666,3700000000.0,Pondok Kelapa,4,4,210,SHM - Sertifikat Hak Milik,EAST
6667,3000000000.0,Duren Sawit,5,4,250,SHM - Sertifikat Hak Milik,EAST
6668,3000000000.0,Jakarta Garden City/JGC,5,4,135,SHM - Sertifikat Hak Milik,EAST
6669,425000000.0,Kramat Jati,2,1,33,SHM - Sertifikat Hak Milik,EAST
6670,2250000000.0,Jakarta Garden City/JGC,3,3,150,SHM - Sertifikat Hak Milik,EAST
6671,3000000000.0,Jakarta Garden City/JGC,5,4,135,SHM - Sertifikat Hak Milik,EAST
6672,425000000.0,Condet,2,1,33,SHM - Sertifikat Hak Milik,EAST
6675,3700000000.0,Cakung,3,2,69,SHM - Sertifikat Hak Milik,EAST
6680,525263670.0,Cijantung,2,2,38,SHM - Sertifikat Hak Milik,EAST
6681,1650000000.0,Jakarta Garden City/JGC,2,2,100,SHM - Sertifikat Hak Milik,EAST
6682,3100000000.0,Cakung,4,3,120,SHM - Sertifikat Hak Milik,EAST
6683,525263670.0,Ciracas,2,2,38,SHM - Sertifikat Hak Milik,EAST
6684,3000000000.0,Cibubur,3,3,250,SHM - Sertifikat Hak Milik,EAST
6685,4300000000.0,Duren Sawit,4,4,235,SHM - Sertifikat Hak Milik,EAST
6686,470000000.0,Cibubur,2,1,45,SHM - Sertifikat Hak Milik,EAST
6687,985000000.0,Cijantung,2,2,50,SHM - Sertifikat Hak Milik,EAST
6690,1010000000.0,Cipayung,2,1,80,SHM - Sertifikat Hak Milik,EAST
6691,1700000000.0,Cakung,3,3,69,SHM - Sertifikat Hak Milik,EAST
6696,4500000000.0,Pulomas,4,3,180,SHM - Sertifikat Hak Milik,EAST
6697,1000000000.0,Ciracas,3,2,72,SHM - Sertifikat Hak Milik,EAST
6699,2750000000.0,Pulomas,5,3,200,SHM - Sertifikat Hak Milik,EAST
6701,430000000.0,Kramat Jati,2,1,33,SHM - Sertifikat Hak Milik,EAST
6704,765000000.0,Kampung Rambutan,4,3,67,SHM - Sertifikat Hak Milik,EAST
6705,765000000.0,Ciracas,4,3,67,SHM - Sertifikat Hak Milik,EAST
6706,3999000000.0,Pondok Kopi,4,2,200,SHM - Sertifikat Hak Milik,EAST
6707,1380000000.0,Cipayung,3,2,70,SHM - Sertifikat Hak Milik,EAST
6708,1400000000.0,Cipayung,3,2,70,SHM - Sertifikat Hak Milik,EAST
6710,1500000000.0,Condet,3,2,120,SHM - Sertifikat Hak Milik,EAST
6711,550000000.0,Ciracas,2,1,45,SHM - Sertifikat Hak Milik,EAST
6712,550000000.0,Otista,2,1,45,SHM - Sertifikat Hak Milik,EAST
6713,650000000.0,Cibubur,3,2,50,SHM - Sertifikat Hak Milik,EAST
6715,340000000.0,Condet,2,1,30,SHM - Sertifikat Hak Milik,EAST
6716,905520000.0,Cilangkap,3,2,55,SHM - Sertifikat Hak Milik,EAST
6718,275000000.0,Condet,2,1,30,SHM - Sertifikat Hak Milik,EAST
6719,689000000.0,Kampung Rambutan,3,2,52,SHM - Sertifikat Hak Milik,EAST
6720,477950000.0,Pasar Rebo,2,1,33,SHM - Sertifikat Hak Milik,EAST
6722,650000000.0,Cipayung,2,1,36,SHM - Sertifikat Hak Milik,EAST
6724,2400000000.0,Cakung,4,2,250,SHM - Sertifikat Hak Milik,EAST
6725,689000000.0,Ciracas,3,2,52,SHM - Sertifikat Hak Milik,EAST
6726,2500000000.0,Kota Wisata Cibubur,4,3,200,SHM - Sertifikat Hak Milik,EAST
6727,6500000000.0,Kayu Putih,4,3,215,SHM - Sertifikat Hak Milik,EAST
6728,1750000000.0,Jakarta Garden City/JGC,3,3,58,PPJB - Perjanjian Pengikatan Jual Beli,EAST
6729,2400000000.0,Cakung,4,2,250,SHM - Sertifikat Hak Milik,EAST
6730,1427250000.0,Ciracas,3,2,95,SHM - Sertifikat Hak Milik,EAST
6732,995000000.0,Cijantung,2,2,50,SHM - Sertifikat Hak Milik,EAST
6734,995000000.0,Cijantung,2,2,55,SHM - Sertifikat Hak Milik,EAST
6735,1100000000.0,Cakung,3,1,80,SHM - Sertifikat Hak Milik,EAST
6737,2100000000.0,Klender,3,3,180,SHM - Sertifikat Hak Milik,EAST
6738,2500000000.0,Rawamangun,4,2,160,SHM - Sertifikat Hak Milik,EAST
6740,600000000.0,Cawang,3,1,55,SHM - Sertifikat Hak Milik,EAST
6741,4500000000.0,Pondok Bambu,5,4,300,SHM - Sertifikat Hak Milik,EAST
6744,2400000000.0,Pondok Kelapa,4,4,150,SHM - Sertifikat Hak Milik,EAST
6745,425000018.0,Cawang,2,1,45,SHM - Sertifikat Hak Milik,EAST
6747,435000018.0,Cawang,2,1,55,SHM - Sertifikat Hak Milik,EAST
6748,425000018.0,Cawang,2,1,60,SHM - Sertifikat Hak Milik,EAST
6749,2700000000.0,Rawamangun,5,4,270,SHM - Sertifikat Hak Milik,EAST
6750,2700000000.0,Kayu Putih,5,4,270,SHM - Sertifikat Hak Milik,EAST
6751,850000000.0,Kayu Putih,4,2,80,SHM - Sertifikat Hak Milik,EAST
6752,799000000.0,Pondok Bambu,3,3,110,SHM - Sertifikat Hak Milik,EAST
6753,925000000.0,Rawamangun,4,2,80,SHM - Sertifikat Hak Milik,EAST
6755,850000000.0,Rawamangun,3,3,80,SHM - Sertifikat Hak Milik,EAST
6756,1315000000.0,Pondok Bambu,3,3,91,SHM - Sertifikat Hak Milik,EAST
6757,595000018.0,Cawang,2,1,55,SHM - Sertifikat Hak Milik,EAST
6760,425000018.0,Cawang,2,1,45,SHM - Sertifikat Hak Milik,EAST
6761,3500000000.0,Rawamangun,2,1,100,SHM - Sertifikat Hak Milik,EAST
6762,2400000000.0,Cakung,4,2,250,SHM - Sertifikat Hak Milik,EAST
6763,1290000000.0,Cipayung,3,2,70,SHM - Sertifikat Hak Milik,EAST
6764,1290000000.0,Cipayung,3,2,70,SHM - Sertifikat Hak Milik,EAST
6765,1290000000.0,Cipayung,3,2,78,SHM - Sertifikat Hak Milik,EAST
6766,1290000000.0,Cipayung,3,2,80,SHM - Sertifikat Hak Milik,EAST
6767,698000030.0,Cawang,3,1,75,SHM - Sertifikat Hak Milik,EAST
6768,1290000000.0,Cipayung,3,2,70,SHM - Sertifikat Hak Milik,EAST
6770,1200000000.0,Pondok Ranggon,3,2,75,SHM - Sertifikat Hak Milik,EAST
6771,3400000000.0,Duren Sawit,5,4,170,SHM - Sertifikat Hak Milik,EAST
6772,1690000000.0,Cilangkap,3,3,165,SHM - Sertifikat Hak Milik,EAST
6773,1789000000.0,Pondok Gede,4,2,109,SHGB - Hak Guna Bangunan,EAST
6774,2000000000.0,Pondok Kelapa,3,2,120,SHM - Sertifikat Hak Milik,EAST
6775,2800000000.0,Cibubur,5,3,280,SHM - Sertifikat Hak Milik,EAST
6776,1400000000.0,Pondok Kelapa,5,3,158,SHM - Sertifikat Hak Milik,EAST
6778,900000000.0,Kramat Jati,4,2,130,AJB - Akta Jual Beli,EAST
6779,3100000000.0,Buaran,4,3,200,SHM - Sertifikat Hak Milik,EAST
6780,799000000.0,Cibubur,2,1,50,SHM - Sertifikat Hak Milik,EAST
6781,1500000000.0,Duren Sawit,3,2,100,SHM - Sertifikat Hak Milik,EAST
6784,1885000000.0,Cakung,4,4,75,SHM - Sertifikat Hak Milik,EAST
6785,2800000000.0,Cibubur,5,3,280,SHM - Sertifikat Hak Milik,EAST
6786,3200000000.0,Pondok Kelapa,4,3,200,SHM - Sertifikat Hak Milik,EAST
6788,2400000000.0,Cakung,2,2,100,SHM - Sertifikat Hak Milik,EAST
6789,1900000000.0,Pondok Bambu,3,2,110,SHM - Sertifikat Hak Milik,EAST
6791,1800000000.0,Rawamangun,4,4,90,SHM - Sertifikat Hak Milik,EAST
6792,2800000000.0,Cibubur,5,3,280,SHM - Sertifikat Hak Milik,EAST
6794,5000000000.0,Cipinang,4,3,280,SHM - Sertifikat Hak Milik,EAST
6795,1085000000.0,Cipayung,3,2,65,SHM - Sertifikat Hak Milik,EAST
6796,3200000000.0,Cipinang,4,2,258,SHM - Sertifikat Hak Milik,EAST
6797,5000000000.0,Kramat Jati,4,3,275,SHM - Sertifikat Hak Milik,EAST
6798,1700000000.0,Duren Sawit,3,1,180,SHM - Sertifikat Hak Milik,EAST
6799,2200000000.0,Pondok Kelapa,3,2,200,SHM - Sertifikat Hak Milik,EAST
6800,2800000000.0,Cibubur,5,3,280,SHM - Sertifikat Hak Milik,EAST
6801,2800000000.0,Cibubur,5,3,280,SHM - Sertifikat Hak Milik,EAST
6802,3700000000.0,Buaran,5,3,150,SHM - Sertifikat Hak Milik,EAST
6803,2400000000.0,Cakung,4,2,250,SHM - Sertifikat Hak Milik,EAST
6804,1900000000.0,Pondok Kelapa,3,2,150,SHM - Sertifikat Hak Milik,EAST
6805,2300000000.0,Pulo Gebang,3,2,100,None,EAST
6808,2100000000.0,Duren Sawit,4,3,240,SHM - Sertifikat Hak Milik,EAST
6811,2940000000.0,Jatinegara,3,3,132,SHM - Sertifikat Hak Milik,EAST
6814,920000000.0,Cijantung,3,2,85,SHM - Sertifikat Hak Milik,EAST
6815,930000000.0,Pasar Rebo,3,2,85,SHM - Sertifikat Hak Milik,EAST
6816,1300000000.0,Cipayung,3,2,75,SHM - Sertifikat Hak Milik,EAST
6817,790000000.0,Ciracas,3,2,60,SHM - Sertifikat Hak Milik,EAST
6818,1200000000.0,Kalisari,3,2,65,SHM - Sertifikat Hak Milik,EAST
6819,699000000.0,Cijantung,2,2,55,SHM - Sertifikat Hak Milik,EAST
6820,1050000000.0,Cipayung,3,2,80,SHM - Sertifikat Hak Milik,EAST
6821,711000000.0,Cijantung,2,2,55,SHM - Sertifikat Hak Milik,EAST
6822,790000000.0,Kalisari,2,2,55,SHM - Sertifikat Hak Milik,EAST
6823,900000000.0,Kalisari,2,1,70,SHM - Sertifikat Hak Milik,EAST
6824,1900000000.0,Cijantung,3,3,106,SHM - Sertifikat Hak Milik,EAST
6825,920000000.0,Cijantung,3,2,85,SHM - Sertifikat Hak Milik,EAST
6826,780000000.0,Ciracas,3,2,60,SHM - Sertifikat Hak Milik,EAST
6827,790000000.0,Ciracas,3,2,60,SHM - Sertifikat Hak Milik,EAST
6828,310000004.0,Jatinegara,2,1,45,SHM - Sertifikat Hak Milik,EAST
6830,790000000.0,Ciracas,3,2,60,SHM - Sertifikat Hak Milik,EAST
6831,790000000.0,Ciracas,3,2,60,SHM - Sertifikat Hak Milik,EAST
6832,790000000.0,Ciracas,3,2,60,SHM - Sertifikat Hak Milik,EAST
6833,1100000000.0,Condet,4,2,120,SHM - Sertifikat Hak Milik,EAST
6834,725000004.0,Jatinegara,3,1,90,SHM - Sertifikat Hak Milik,EAST
6835,1200000000.0,Condet,4,2,130,SHM - Sertifikat Hak Milik,EAST
6836,1100000000.0,Condet,3,2,105,SHM - Sertifikat Hak Milik,EAST
6837,2400000000.0,Pulo Asem,3,2,180,SHM - Sertifikat Hak Milik,EAST
6838,1175000000.0,Pulo Gebang,2,1,60,SHM - Sertifikat Hak Milik,EAST
6839,2200000000.0,Pondok Kelapa,4,3,150,SHM - Sertifikat Hak Milik,EAST
6840,490000000.0,Pondok Kelapa,2,1,45,SHM - Sertifikat Hak Milik,EAST
6841,518000000.0,Halim,2,1,45,SHM - Sertifikat Hak Milik,EAST
6842,750000000.0,Cibubur,3,2,70,SHM - Sertifikat Hak Milik,EAST
6843,750000000.0,Pondok Gede,3,2,70,SHM - Sertifikat Hak Milik,EAST
6844,518000000.0,Ciracas,2,1,45,SHM - Sertifikat Hak Milik,EAST
6845,1700000000.0,Cakung,3,3,69,SHM - Sertifikat Hak Milik,EAST
6846,1500000000.0,Ciracas,4,2,110,SHM - Sertifikat Hak Milik,EAST
6847,2500000000.0,Cakung,4,3,150,SHM - Sertifikat Hak Milik,EAST
6849,4500000000.0,Kayu Putih,4,4,250,SHM - Sertifikat Hak Milik,EAST
6850,1650000000.0,Taman Modern,4,2,160,SHM - Sertifikat Hak Milik,EAST
6851,2400000000.0,Cakung,4,2,250,SHM - Sertifikat Hak Milik,EAST
6853,2400000000.0,Cakung,4,2,250,SHM - Sertifikat Hak Milik,EAST
6854,2800000000.0,Rawamangun,4,4,160,SHM - Sertifikat Hak Milik,EAST
6855,3600000000.0,Ciracas,3,2,130,SHM - Sertifikat Hak Milik,EAST
6856,2295000000.0,Cipayung,4,3,145,SHM - Sertifikat Hak Milik,EAST
6857,3784000000.0,Cipinang,4,3,180,SHM - Sertifikat Hak Milik,EAST
6858,1150000000.0,Halim,3,2,90,SHM - Sertifikat Hak Milik,EAST
6859,1150000000.0,Kalimalang,3,2,90,SHM - Sertifikat Hak Milik,EAST
